,CD8_T_cell,M0_macrophage,M1_macrophage,M2_macrophage,exhausted_T_cell,naive_T_cell,tumor,Total de agentes
rule9_vs_rule10_HM2.0_5.0_rep7,39.0,1.0,28.0,225.0,590.0,47.0,1129.0,2059.0
rule9_vs_rule10_HM2.0_5.0_rep8,35.0,1.0,27.0,225.0,552.0,58.0,1188.0,2086.0
rule9_vs_rule10_HM2.0_5.0_rep9,59.0,1.0,22.0,221.0,633.0,39.0,1116.0,2091.0
rule9_vs_rule10_HM5.0_0.2_rep1,25.0,1.0,14.0,238.0,557.0,58.0,1172.0,2065.0
rule9_vs_rule10_HM5.0_0.2_rep10,24.0,1.0,22.0,227.0,577.0,47.0,1155.0,2053.0
rule9_vs_rule10_HM5.0_0.2_rep2,21.0,1.0,14.0,224.0,581.0,44.0,1163.0,2048.0
rule9_vs_rule10_HM5.0_0.2_rep3,28.0,1.0,23.0,240.0,583.0,38.0,1210.0,2123.0
rule9_vs_rule10_HM5.0_0.2_rep4,39.0,1.0,22.0,242.0,547.0,51.0,1235.0,2137.0
rule9_vs_rule10_HM5.0_0.2_rep5,22.0,1.0,20.0,232.0,525.0,63.0,1304.0,2167.0
rule9_vs_rule10_HM5.0_0.2_rep6,30.0,1.0,24.0,219.0,574.0,62.0,1212.0,2122.0
rule9_vs_rule10_HM5.0_0.2_rep7,20.0,1.0,20.0,240.0,544.0,47.0,1230.0,2102.0
rule9_vs_rule10_HM5.0_0.2_rep8,41.0,1.0,20.0,231.0,616.0,43.0,1177.0,2129.0
rule9_vs_rule10_HM5.0_0.2_rep9,42.0,2.0,15.0,215.0,546.0,38.0,1247.0,2105.0
rule9_vs_rule10_HM5.0_0.5_rep1,32.0,1.0,27.0,217.0,588.0,34.0,1141.0,2040.0
rule9_vs_rule10_HM5.0_0.5_rep10,32.0,1.0,27.0,219.0,542.0,34.0,1191.0,2046.0
rule9_vs_rule10_HM5.0_0.5_rep2,37.0,1.0,29.0,232.0,562.0,42.0,1260.0,2163.0
rule9_vs_rule10_HM5.0_0.5_rep3,41.0,1.0,25.0,214.0,573.0,32.0,1181.0,2067.0
rule9_vs_rule10_HM5.0_0.5_rep4,34.0,1.0,19.0,229.0,594.0,40.0,1194.0,2111.0
rule9_vs_rule10_HM5.0_0.5_rep5,36.0,1.0,27.0,225.0,564.0,36.0,1179.0,2068.0
rule9_vs_rule10_HM5.0_0.5_rep6,31.0,1.0,18.0,223.0,511.0,48.0,1189.0,2021.0
rule9_vs_rule10_HM5.0_0.5_rep7,36.0,1.0,26.0,236.0,530.0,32.0,1163.0,2024.0
rule4_vs_rule9_HM2.0_5.0_rep8,35.0,1.0,25.0,214.0,568.0,45.0,1136.0,2024.0
rule4_vs_rule9_HM2.0_5.0_rep9,25.0,1.0,24.0,227.0,599.0,33.0,1151.0,2060.0
rule4_vs_rule9_HM5.0_0.2_rep1,25.0,1.0,19.0,215.0,642.0,34.0,1119.0,2055.0
rule4_vs_rule9_HM5.0_0.2_rep10,33.0,1.0,6.0,242.0,537.0,48.0,1193.0,2060.0
rule4_vs_rule9_HM5.0_0.2_rep2,30.0,1.0,19.0,238.0,578.0,50.0,1115.0,2031.0
rule4_vs_rule9_HM5.0_0.2_rep3,28.0,1.0,10.0,232.0,539.0,38.0,1159.0,2007.0
rule4_vs_rule9_HM5.0_0.2_rep4,36.0,1.0,18.0,218.0,603.0,37.0,1108.0,2021.0
rule4_vs_rule9_HM5.0_0.2_rep5,30.0,1.0,11.0,244.0,522.0,66.0,1176.0,2050.0
rule4_vs_rule9_HM5.0_0.2_rep6,22.0,1.0,14.0,225.0,592.0,46.0,1132.0,2032.0
rule4_vs_rule9_HM5.0_0.2_rep7,37.0,1.0,25.0,222.0,589.0,41.0,1069.0,1984.0
rule4_vs_rule9_HM5.0_0.2_rep8,28.0,1.0,18.0,232.0,586.0,33.0,1120.0,2018.0
rule4_vs_rule9_HM5.0_0.2_rep9,34.0,1.0,26.0,234.0,640.0,24.0,1061.0,2020.0
rule4_vs_rule9_HM5.0_0.5_rep1,41.0,1.0,17.0,223.0,558.0,44.0,1105.0,1989.0
rule4_vs_rule9_HM5.0_0.5_rep10,35.0,1.0,14.0,239.0,516.0,41.0,1215.0,2061.0
rule4_vs_rule9_HM5.0_0.5_rep2,37.0,1.0,20.0,227.0,556.0,42.0,1095.0,1978.0
rule4_vs_rule9_HM5.0_0.5_rep3,25.0,1.0,21.0,222.0,676.0,32.0,993.0,1970.0
rule4_vs_rule9_HM5.0_0.5_rep4,34.0,1.0,22.0,229.0,567.0,30.0,1041.0,1924.0
rule4_vs_rule9_HM5.0_0.5_rep5,23.0,1.0,16.0,226.0,599.0,47.0,1104.0,2016.0
rule4_vs_rule9_HM5.0_0.5_rep6,36.0,1.0,18.0,220.0,596.0,35.0,1061.0,1967.0
rule4_vs_rule9_HM5.0_0.5_rep7,54.0,1.0,20.0,230.0,590.0,47.0,1122.0,2064.0
rule4_vs_rule9_HM5.0_0.5_rep8,42.0,1.0,24.0,205.0,638.0,24.0,1045.0,1979.0
rule1_vs_rule2_HM0.2_2.0_rep6,28.0,2.0,11.0,288.0,180.0,338.0,1450.0,2297.0
rule1_vs_rule2_HM0.2_2.0_rep7,31.0,2.0,11.0,272.0,146.0,394.0,1474.0,2330.0
rule1_vs_rule2_HM0.2_2.0_rep8,19.0,2.0,16.0,273.0,157.0,336.0,1522.0,2325.0
rule1_vs_rule2_HM0.2_2.0_rep9,30.0,1.0,13.0,280.0,200.0,315.0,1407.0,2246.0
rule1_vs_rule2_HM0.2_5.0_rep1,31.0,1.0,7.0,245.0,168.0,332.0,1414.0,2198.0
rule1_vs_rule2_HM0.2_5.0_rep10,42.0,1.0,12.0,268.0,161.0,359.0,1449.0,2292.0
rule1_vs_rule2_HM0.2_5.0_rep2,34.0,1.0,14.0,268.0,177.0,378.0,1424.0,2296.0
rule1_vs_rule2_HM0.2_5.0_rep3,18.0,2.0,9.0,306.0,150.0,356.0,1480.0,2321.0
rule1_vs_rule2_HM0.2_5.0_rep4,41.0,1.0,13.0,251.0,208.0,384.0,1369.0,2267.0
rule1_vs_rule2_HM0.2_5.0_rep5,33.0,1.0,7.0,249.0,186.0,353.0,1389.0,2218.0
